lat;lon;area;rent;condofee;IPTU;bedrooms
-19.933367;-43.943418;200;6500;1500;633;4
-19.947996;-43.930521;170;5500;2500;695;3
-19.94652;-43.936679;180;6497;1500;763;4
-19.944657;-43.949389;275;6500;1480;218;5
-19.94652;-43.936679;164;6500;1476;790;4
-19.92879;-43.948484;95;6990;980;540;3
-19.977093;-43.97785;300;6800;1160;450;4
-19.932327;-43.953528;240;6000;1950;660;4
-19.945708;-43.931511;145;6600;1345;728;4
-19.945708;-43.931511;145;6600;1345;196;4
-19.939415;-43.944069;190;6200;1740;501;4
-19.928756;-43.926625;320;5000;2909;734;4
-19.873402;-43.997037;400;7900;0;513;5
-19.930624;-43.957472;155;6500;1400;3485;4
-19.933445;-43.943942;270;6000;1900;600;4
-19.939415;-43.944069;240;6000;1900;506;4
-19.939415;-43.944069;240;6000;1900;506;4
-19.958574;-43.952004;450;7880;0;292;7
-19.947632;-43.956622;360;6500;1358;933;4
-19.945708;-43.931511;147;6500;1345;729;4
-19.975699;-43.968269;1800;6500;1320;490;4
-19.969186;-43.967944;1800;6500;1320;490;4
-19.933367;-43.943418;200;6300;1500;633;4
-19.928805;-43.924247;170;6000;1800;881;4
-19.858313;-43.965956;500;7800;0;532;5
-19.945505;-43.932057;145;6400;1345;500;4
-19.93891;-43.924406;205;5000;2690;795;5
-19.928903;-43.934432;320;6000;1688;615;4
-19.951437;-43.947823;324;6000;1646;700;5
-19.933445;-43.943942;1200;6000;1620;530;4
-19.93891;-43.924406;205;5000;2608;796;4
-19.967875;-43.950814;172;5500;2100;620;4
-19.934841;-43.941797;220;6000;1600;1016;4
-19.973171;-43.939653;154;5400;2150;647;4
-19.973697;-43.941358;1000;5400;2150;679;4
-19.932321;-43.928961;300;5500;2021;731;4
-19.928859;-43.926703;405;4000;3500;699;2
-19.927965;-43.948242;150;4700;2800;500;3
-19.927965;-43.948242;150;4700;2800;500;3
-19.93891;-43.924406;1433;5500;2000;900;4
-19.927965;-43.948242;150;4700;2800;500;3
-19.955555;-43.92844;402;7500;0;483;4
-19.954189;-43.954502;350;7500;0;357;7
-19.886731;-43.939041;600;7500;0;158;5
-19.928859;-43.926703;320;4000;3500;767;2
-19.973171;-43.939653;154;5400;2100;690;4
-19.972385;-43.941241;197;5000;2480;1077;3
-19.94652;-43.936679;180;5980;1450;669;4
-19.934195;-43.941928;230;5500;1900;48;4
-19.949719;-43.957963;363;5700;1700;707;4
-19.956302;-43.933708;167;4500;2900;685;4
-19.967127;-43.950477;221;4500;2900;562;3
-19.930624;-43.957472;156;6500;900;369;4
-19.938161;-43.929786;214;5600;1760;798;4
-19.945522;-43.931342;149;1700000;1345;2159;4
-19.943655;-43.932352;240;5900;1400;490;5
-19.934195;-43.941928;210;5500;1800;509;4
-19.947461;-43.931374;200;6000;1300;500;4
-19.943655;-43.932352;240;5900;1400;490;6
-19.927965;-43.948242;175;4700;2600;496;4
-19.934195;-43.941928;1200;5500;1771;557;4
-19.929464;-43.944236;248;5500;1750;916;4
-19.946486;-43.955399;300;7225;0;334;5
-19.92839;-43.926085;160;5600;1600;687;4
-19.930925;-43.929689;1080;5500;1700;600;4
-19.953066;-43.934134;290;5000;2200;604;4
-19.956302;-43.933708;167;4800;2400;789;4
